sample,classify,abundance,reads,cs,database
5,unclassified,0.11,537339,0.2,standard
6,classified,0.87,4343133,0.2,standard
6,unclassified,0.13,656869,0.2,standard
7,classified,0.73,3633620,0.2,standard
7,unclassified,0.27,1366381,0.2,standard
8,classified,0.83,4146725,0.2,standard
8,unclassified,0.17,853275,0.2,standard
9,classified,0.93,4670519,0.2,standard
9,unclassified,0.07,329481,0.2,standard
10,classified,1,4978850,0.2,standard
10,unclassified,0,21150,0.2,standard
1,classified,0.85,4260748,0.4,standard
1,unclassified,0.15,739254,0.4,standard
2,classified,0.72,3594732,0.4,standard
2,unclassified,0.28,1405270,0.4,standard
3,classified,0.87,4363174,0.4,standard
3,unclassified,0.13,636826,0.4,standard
4,classified,1,4989158,0.4,standard
4,unclassified,0,10842,0.4,standard
5,classified,0.89,4442517,0.4,standard
5,unclassified,0.11,557483,0.4,standard
6,classified,0.86,4276091,0.4,standard
6,unclassified,0.14,723911,0.4,standard
7,classified,0.69,3462417,0.4,standard
7,unclassified,0.31,1537584,0.4,standard
8,classified,0.82,4096298,0.4,standard
8,unclassified,0.18,903702,0.4,standard
9,classified,0.86,4306552,0.4,standard
9,unclassified,0.14,693448,0.4,standard
10,classified,0.99,4936731,0.4,standard
10,unclassified,0.01,63269,0.4,standard
1,classified,0.82,4099146,0.6,standard
1,unclassified,0.18,900856,0.6,standard
2,classified,0.7,3498157,0.6,standard
2,unclassified,0.3,1501845,0.6,standard
3,classified,0.84,4222243,0.6,standard
3,unclassified,0.16,777757,0.6,standard
4,classified,0.99,4933369,0.6,standard
4,unclassified,0.01,66631,0.6,standard
5,classified,0.87,4343273,0.6,standard
5,unclassified,0.13,656727,0.6,standard
6,classified,0.83,4145893,0.6,standard
6,unclassified,0.17,854109,0.6,standard
7,classified,0.67,3327861,0.6,standard
7,unclassified,0.33,1672140,0.6,standard
8,classified,0.8,3992402,0.6,standard
8,unclassified,0.2,1007598,0.6,standard
9,classified,0.79,3924968,0.6,standard
9,unclassified,0.22,1075032,0.6,standard
10,classified,0.95,4750553,0.6,standard
10,unclassified,0.05,249447,0.6,standard
1,classified,0.73,3662623,0.8,standard
1,unclassified,0.27,1337379,0.8,standard
2,classified,0.62,3103722,0.8,standard
2,unclassified,0.38,1896280,0.8,standard
3,classified,0.74,3699179,0.8,standard
3,unclassified,0.26,1300821,0.8,standard
4,classified,0.9,4494922,0.8,standard
4,unclassified,0.1,505078,0.8,standard
5,classified,0.77,3853338,0.8,standard
5,unclassified,0.23,1146662,0.8,standard
6,classified,0.73,3633783,0.8,standard
6,unclassified,0.27,1366219,0.8,standard
7,classified,0.58,2886362,0.8,standard
7,unclassified,0.42,2113639,0.8,standard
8,classified,0.71,3541412,0.8,standard
8,unclassified,0.29,1458588,0.8,standard
9,classified,0.67,3352500,0.8,standard
9,unclassified,0.33,1647500,0.8,standard
10,classified,0.81,4072827,0.8,standard
10,unclassified,0.19,927173,0.8,standard
1,classified,0.48,2404797,1,standard
1,unclassified,0.52,2595205,1,standard
2,classified,0.39,1970947,1,standard
2,unclassified,0.61,3029055,1,standard
3,classified,0.47,2332565,1,standard
3,unclassified,0.53,2667435,1,standard
4,classified,0.59,2966028,1,standard
4,unclassified,0.41,2033972,1,standard
5,classified,0.49,2447812,1,standard
5,unclassified,0.51,2552188,1,standard
6,classified,0.45,2258696,1,standard
6,unclassified,0.55,2741306,1,standard
7,classified,0.34,1716837,1,standard
7,unclassified,0.66,3283164,1,standard
8,classified,0.45,2246725,1,standard
8,unclassified,0.55,2753275,1,standard
9,classified,0.41,2062882,1,standard
9,unclassified,0.59,2937118,1,standard
10,classified,0.5,2505638,1,standard
10,unclassified,0.5,2494362,1,standard
1,classified,0.99,4955148,0,nt
1,unclassified,0.01,44854,0,nt
2,classified,0.94,4680903,0,nt
2,unclassified,0.06,319099,0,nt
3,classified,1,4998202,0,nt
3,unclassified,0,1798,0,nt
4,classified,1,4996384,0,nt
4,unclassified,0,3616,0,nt
5,classified,1,4999981,0,nt
5,unclassified,0,19,0,nt
6,classified,0.96,4810333,0,nt
6,unclassified,0.04,189669,0,nt
7,classified,0.91,4550597,0,nt
7,unclassified,0.09,449404,0,nt
8,classified,0.91,4544354,0,nt
8,unclassified,0.09,455646,0,nt
9,classified,1,4997827,0,nt
9,unclassified,0,2173,0,nt
10,classified,1,4999732,0,nt
10,unclassified,0,268,0,nt
1,classified,0.98,4882917,0.2,nt
1,unclassified,0.02,117085,0.2,nt
2,classified,0.79,3952778,0.2,nt
2,unclassified,0.21,1047224,0.2,nt
3,classified,1,4994230,0.2,nt
3,unclassified,0,5770,0.2,nt
4,classified,1,4994587,0.2,nt
4,unclassified,0,5413,0.2,nt
5,classified,1,4998949,0.2,nt
5,unclassified,0,1051,0.2,nt
6,classified,0.93,4636334,0.2,nt
6,unclassified,0.07,363668,0.2,nt
7,classified,0.82,4081967,0.2,nt
7,unclassified,0.18,918034,0.2,nt
8,classified,0.84,4218051,0.2,nt
8,unclassified,0.16,781949,0.2,nt
9,classified,1,4992119,0.2,nt
9,unclassified,0,7881,0.2,nt
10,classified,1,4997758,0.2,nt
10,unclassified,0,2242,0.2,nt
1,classified,0.96,4820631,0.4,nt
1,unclassified,0.04,179371,0.4,nt
2,classified,0.78,3895662,0.4,nt
2,unclassified,0.22,1104340,0.4,nt
3,classified,1,4982874,0.4,nt
3,unclassified,0,17126,0.4,nt
4,classified,1,4990603,0.4,nt
4,unclassified,0,9397,0.4,nt
5,classified,1,4992086,0.4,nt
5,unclassified,0,7914,0.4,nt
6,classified,0.92,4580684,0.4,nt
6,unclassified,0.08,419318,0.4,nt
7,classified,0.79,3934291,0.4,nt
7,unclassified,0.21,1065710,0.4,nt
8,classified,0.84,4184482,0.4,nt
8,unclassified,0.16,815518,0.4,nt
9,classified,0.99,4966543,0.4,nt
9,unclassified,0.01,33457,0.4,nt
10,classified,1,4981321,0.4,nt
10,unclassified,0,18679,0.4,nt
1,classified,0.94,4711275,0.6,nt
1,unclassified,0.06,288727,0.6,nt
2,classified,0.76,3804251,0.6,nt
2,unclassified,0.24,1195751,0.6,nt
3,classified,0.98,4899286,0.6,nt
3,unclassified,0.02,100714,0.6,nt
4,classified,0.99,4943863,0.6,nt
4,unclassified,0.01,56137,0.6,nt
5,classified,0.98,4923544,0.6,nt
5,unclassified,0.02,76456,0.6,nt
6,classified,0.89,4473137,0.6,nt
6,unclassified,0.11,526865,0.6,nt
7,classified,0.76,3820972,0.6,nt
7,unclassified,0.24,1179029,0.6,nt
8,classified,0.82,4113399,0.6,nt
8,unclassified,0.18,886601,0.6,nt
9,classified,0.97,4826244,0.6,nt
9,unclassified,0.03,173756,0.6,nt
10,classified,0.97,4863528,0.6,nt
10,unclassified,0.03,136472,0.6,nt
1,classified,0.85,4272537,0.8,nt
1,unclassified,0.15,727465,0.8,nt
2,classified,0.68,3383562,0.8,nt
2,unclassified,0.32,1616440,0.8,nt
3,classified,0.87,4355143,0.8,nt
3,unclassified,0.13,644857,0.8,nt
4,classified,0.91,4534898,0.8,nt
4,unclassified,0.09,465102,0.8,nt
5,classified,0.89,4446721,0.8,nt
5,unclassified,0.11,553279,0.8,nt
6,classified,0.79,3962695,0.8,nt
6,unclassified,0.21,1037307,0.8,nt
7,classified,0.68,3416016,0.8,nt
7,unclassified,0.32,1583985,0.8,nt
8,classified,0.74,3718278,0.8,nt
8,unclassified,0.26,1281722,0.8,nt
9,classified,0.84,4223599,0.8,nt
9,unclassified,0.16,776401,0.8,nt
10,classified,0.85,4266369,0.8,nt
10,unclassified,0.15,733631,0.8,nt
1,classified,0.56,2812568,1,nt
1,unclassified,0.44,2187434,1,nt
2,classified,0.43,2132196,1,nt
2,unclassified,0.57,2867806,1,nt
3,classified,0.56,2781296,1,nt
3,unclassified,0.44,2218704,1,nt
4,classified,0.6,2987738,1,nt
4,unclassified,0.4,2012262,1,nt
5,classified,0.58,2894117,1,nt
5,unclassified,0.42,2105883,1,nt
6,classified,0.49,2459119,1,nt
6,unclassified,0.51,2540883,1,nt
7,classified,0.43,2155754,1,nt
7,unclassified,0.57,2844247,1,nt
8,classified,0.48,2415904,1,nt
8,unclassified,0.52,2584096,1,nt
9,classified,0.53,2655935,1,nt
9,unclassified,0.47,2344065,1,nt
10,classified,0.53,2656368,1,nt
10,unclassified,0.47,2343632,1,nt
1,classified,0.79,3927753,0,GTDB202
1,unclassified,0.21,1072249,0,GTDB202
2,classified,0.89,4468136,0,GTDB202
2,unclassified,0.11,531866,0,GTDB202
3,classified,0.95,4746349,0,GTDB202
3,unclassified,0.05,253651,0,GTDB202
4,classified,0.98,4894561,0,GTDB202
4,unclassified,0.02,105439,0,GTDB202
5,classified,0.92,4590423,0,GTDB202
5,unclassified,0.08,409577,0,GTDB202
6,classified,0.93,4665621,0,GTDB202
6,unclassified,0.07,334381,0,GTDB202
7,classified,0.91,4530403,0,GTDB202
7,unclassified,0.09,469598,0,GTDB202
8,classified,0.88,4397318,0,GTDB202
8,unclassified,0.12,602682,0,GTDB202
9,classified,0.97,4858027,0,GTDB202
9,unclassified,0.03,141973,0,GTDB202
10,classified,0.99,4934538,0,GTDB202
10,unclassified,0.01,65462,0,GTDB202
1,classified,0.74,3694438,0.2,GTDB202
1,unclassified,0.26,1305564,0.2,GTDB202
2,classified,0.8,3988509,0.2,GTDB202
2,unclassified,0.2,1011493,0.2,GTDB202
3,classified,0.89,4425391,0.2,GTDB202
3,unclassified,0.11,574609,0.2,GTDB202
4,classified,0.96,4796505,0.2,GTDB202
4,unclassified,0.04,203495,0.2,GTDB202
5,classified,0.86,4282721,0.2,GTDB202
5,unclassified,0.14,717279,0.2,GTDB202
6,classified,0.87,4334544,0.2,GTDB202
6,unclassified,0.13,665458,0.2,GTDB202
7,classified,0.77,3866449,0.2,GTDB202
7,unclassified,0.23,1133552,0.2,GTDB202
8,classified,0.82,4124550,0.2,GTDB202
8,unclassified,0.18,875450,0.2,GTDB202
9,classified,0.92,4622484,0.2,GTDB202
9,unclassified,0.08,377516,0.2,GTDB202
10,classified,0.97,4866014,0.2,GTDB202
10,unclassified,0.03,133986,0.2,GTDB202
1,classified,0.69,3470078,0.4,GTDB202
1,unclassified,0.31,1529924,0.4,GTDB202
2,classified,0.73,3646272,0.4,GTDB202
2,unclassified,0.27,1353730,0.4,GTDB202
3,classified,0.84,4206551,0.4,GTDB202
3,unclassified,0.16,793449,0.4,GTDB202
4,classified,0.93,4653737,0.4,GTDB202
4,unclassified,0.07,346263,0.4,GTDB202
5,classified,0.82,4091400,0.4,GTDB202
5,unclassified,0.18,908600,0.4,GTDB202
6,classified,0.8,4011968,0.4,GTDB202
6,unclassified,0.2,988034,0.4,GTDB202
7,classified,0.69,3466927,0.4,GTDB202
7,unclassified,0.31,1533074,0.4,GTDB202
8,classified,0.8,4000325,0.4,GTDB202
8,unclassified,0.2,999675,0.4,GTDB202
9,classified,0.85,4228476,0.4,GTDB202
9,unclassified,0.15,771524,0.4,GTDB202
10,classified,0.94,4723876,0.4,GTDB202
10,unclassified,0.06,276124,0.4,GTDB202
1,classified,0.61,3073448,0.6,GTDB202
1,unclassified,0.39,1926554,0.6,GTDB202
2,classified,0.61,3044293,0.6,GTDB202
2,unclassified,0.39,1955709,0.6,GTDB202
3,classified,0.78,3880019,0.6,GTDB202
3,unclassified,0.22,1119981,0.6,GTDB202
4,classified,0.85,4269746,0.6,GTDB202
4,unclassified,0.15,730254,0.6,GTDB202
5,classified,0.73,3658073,0.6,GTDB202
5,unclassified,0.27,1341927,0.6,GTDB202
6,classified,0.69,3424787,0.6,GTDB202
6,unclassified,0.32,1575215,0.6,GTDB202
7,classified,0.6,3000730,0.6,GTDB202
7,unclassified,0.4,1999271,0.6,GTDB202
8,classified,0.74,3697407,0.6,GTDB202
8,unclassified,0.26,1302593,0.6,GTDB202
9,classified,0.74,3695046,0.6,GTDB202
9,unclassified,0.26,1304954,0.6,GTDB202
10,classified,0.87,4355703,0.6,GTDB202
10,unclassified,0.13,644297,0.6,GTDB202
1,classified,0.46,2279531,0.8,GTDB202
1,unclassified,0.54,2720471,0.8,GTDB202
2,classified,0.4,2011879,0.8,GTDB202
2,unclassified,0.6,2988123,0.8,GTDB202
3,classified,0.62,3104686,0.8,GTDB202
3,unclassified,0.38,1895314,0.8,GTDB202
4,classified,0.64,3179501,0.8,GTDB202
4,unclassified,0.36,1820499,0.8,GTDB202
5,classified,0.54,2692604,0.8,GTDB202
5,unclassified,0.46,2307396,0.8,GTDB202
6,classified,0.47,2363462,0.8,GTDB202
6,unclassified,0.53,2636540,0.8,GTDB202
7,classified,0.42,2080753,0.8,GTDB202
7,unclassified,0.58,2919248,0.8,GTDB202
8,classified,0.57,2848006,0.8,GTDB202
8,unclassified,0.43,2151994,0.8,GTDB202
9,classified,0.56,2806218,0.8,GTDB202
9,unclassified,0.44,2193782,0.8,GTDB202
10,classified,0.68,3413193,0.8,GTDB202
10,unclassified,0.32,1586807,0.8,GTDB202
1,classified,0.21,1034269,1,GTDB202
1,unclassified,0.79,3965733,1,GTDB202
2,classified,0.16,819629,1,GTDB202
2,unclassified,0.84,4180373,1,GTDB202
3,classified,0.33,1626216,1,GTDB202
3,unclassified,0.67,3373784,1,GTDB202
4,classified,0.26,1307819,1,GTDB202
4,unclassified,0.74,3692181,1,GTDB202
5,classified,0.24,1207808,1,GTDB202
5,unclassified,0.76,3792192,1,GTDB202
6,classified,0.19,959063,1,GTDB202
6,unclassified,0.81,4040939,1,GTDB202
7,classified,0.16,788520,1,GTDB202
7,unclassified,0.84,4211481,1,GTDB202
8,classified,0.26,1307811,1,GTDB202
8,unclassified,0.74,3692189,1,GTDB202
9,classified,0.27,1366219,1,GTDB202
9,unclassified,0.73,3633781,1,GTDB202
10,classified,0.35,1734798,1,GTDB202
10,unclassified,0.65,3265202,1,GTDB202
